subject,file,n_rows,columns,has_onset,has_duration,has_genre,has_track,has_start,has_end
sub-001,sub-001_task-Test_run-01_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-001,sub-001_task-Test_run-02_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-001,sub-001_task-Test_run-04_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-001,sub-001_task-Test_run-06_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-001,sub-001_task-Test_run-03_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-001,sub-001_task-Test_run-05_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-01_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-06_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-02_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-05_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-03_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-002,sub-002_task-Test_run-04_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-01_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-06_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-05_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-02_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-04_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-003,sub-003_task-Test_run-03_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-03_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-05_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-06_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-02_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-04_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-004,sub-004_task-Test_run-01_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-06_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-01_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-05_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-03_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-02_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
sub-005,sub-005_task-Test_run-04_events.tsv,41,onset|duration|genre|track|start|end,True,True,True,True,True,True
